,Commute,Shop/Education,Business,Leisure
London,1246.272763,765.892548,622.0000491,1745.374692
Urban Conurbation,1160.212415,1078.422356,731.7091369,2066.181489
Urban City and Town,1329.836261,1524.779307,1022.274898,2895.449161
Rural Town and Fringe,1337.203953,2188.93111,1421.738607,3648.053496
"Rural Village, Hamlet and Isolated Dwelling",1465.778597,2687.485586,1747.667447,3854.748673
